4SI,4SIGHT HLD
ABG,ABSA GROUP
ACL,ARCELORMITTAL
ACS,ACSION
ACT,AFRO-C
ACZ,ARDEN CAP
ADH,ADVTECH
ADI,ADAPTIT HLDS LTD
ADR,ADCORP
ADW,AFDAWN
AEE,AFRICAN EQUITY INV
AEG,AVENG
AEL,ALTRON A
AFE,AECI
AFH,AFORBES
AFT,AFRIMAT
AGL,ANGLO
AHA,AWAPROP A
AHB,AWAPROP B
AHL,AH-VEST LTD
AIL,AFRICAN RAIBOW CAP
AIP,ADCOCK
ALH,ALARIS HOLDINGS
AME,AFRICAN MEDIA
AMS,AMPLATS
ANG,ANGLOGOLD ASHANTI
ANH,AB INBEV
AON,AF & OVR - N
AOO,AF & OVR
AOVP,AF & OVR 6% PART PRF
APF,ACCPROP
APH,ALPHA MIN RESOURCES
APN,ASPEN
ARA,ASTORIA
ARH,ARB HOLDINGS
ARI,AFRICAN RAINBOW
ARL,ASTRAL
ART,ARGENT
ASC,ASCENDIS
ASN487,AB MBSN 487 08/25
ATI,AFRISTRAT
ATT,ATTACQ
AVI,AVI
AVL,ADVANCED
AVV,ALVIVA
AYO,AYO TECH
BAT,BRAIT
BAU,BAUBA
BAW,BARWORLD
BCF,BOWCALF
BEL,BELL EQUIPMENT
BHG,BHP GROUP
BID,BIDCORP
BIK,BRIKOR
BLU,BLUE LABEL TELECOMS
BRN,BRIMSTONE-N
BSR,BASIL READ HOLD
BTI,BRITISH AM TOBACCO
BUC,BUFFALO
BVT,BIDVEST
BWN,BALWIN
BYI,BYTES
CAC,CAFCA
CAT,CAXTON
CATP,CAT 6% PART PREFS
CCO,CAPCO
CFR,COMPAGNIE RICHEMONT
CFRO,RICHEMONT OPT
CGN,COGNITION
CGR,CALGRO M3 HOLDINGS
CHP,CHOPPIES
CKS,CROOKES
CLH,CITY LODGE HOTELS
CLI,CLIENTELE
CLN632,CLN632 5.33% 11//22
CLS,CLICKS
CMH,COMBINED MOTOR HOLD
CML,CORONAT
CMO,CHROMETCO
CND,CONDUIT
COH,CURRO
CPI,CAPITEC
CRP,CAPREG
CSB,CASHBUILD
CSG,CSG
CTA,CAPPREC
CVW,CASTLEVIEW
DAAPVT,SA M/A HI EQ TRI
DCP,DISCHEM
DGH,DISTELL
DIA,DIPULA A
DIB,DIPULA B
DKR,DKR
DLT,DELPROP
DMCCB,SOAPSTONE CB
DNB,DENEB INV
DRA,DRAGLOBAL
DRD,DRDGOLD
DSY,DISCOVERY
DTC,DATATEC
EEL,EFORA
ELI,ELLIES HOLDINGS
EMH,E MEDIA
EMI,EMIRA
EMN,E MEDIA -N-
ENX,ENX GROUP
EOH,EOH
EPE,ETHOS CAPITAL
EPP,EPP
EPS,EASTERN PLATINUM
EQU,EQUITES
ERN,ERIN ENERGY CORP
ETO,ETION
EUZ,EUROMET
EXP,EXEMPLAR
EXX,EXXARO
FBR,FAMBRANDS
FFA,FORTRESS A
FFB,FORTRESS B
FGL,FINBOND
FSE,FIRESTONE ENERGY
FSEO1,FIRESTONE OPT
FSR,FIRSTRAND
FVT,FAIRVEST
GFI,GFIELDS
GLI,GO LIFE
GLN,GLENCORE
GML,GEMFIELDS
GND,GRINDROD
GPL,GRAND PARADE
GRT,GROWTHPOINT
GSH,GRINROD SHIPPING
GTC,GLOBE TRADE SA
HAR,HARMONY
HCI,HOSKEN
HDC,HUDACO
HET,HERIOT
HIL,HOMECHOICE
HLM,HULAMIN
HMN,HAMMERSON
HPR,HOSKEN PAX
HUG,HUGE GROUP
HUL,HULISANI
HWA,HWANGE
HYP,HYPROP
IAP,IRONGATE
ILE,IMBALIE
ILU,INDLU
IMP,IMPALA PLATINUM
INL,INVESTEC LTD
INP,INVESTEC PLC
IPF,INVESTEC PROP
IPL,IMPERIAL
ISA,ISA
ISB,INSIMBI LTD
ITE,ITALTILE
IVT,INVICTA
JBL,JUBILEE
JSC,JASCO
JSE,JSE
KAL,KAAP AGRI
KAP,KAP
KBO,KIBO
KIO,KUMBA IRON ORE
KP2,KORE
KR,KRUGERRANDS
KRHT,KRUGER RAND - HALF
KRO,KAROO
KRQT,KRUGER RAND-QUARTER
KRTT,KRUGER RAND - TENTH
KRVAT,KRUGERRAND VAT %
KST,PSG KONSULT
L2D,LIBERTY 2D
L4L,LONG 4 LIFE
LAB,LABAT
LBH,LIB HOLD
LBR,LIBSTAR
LEW,LEWIS
LHC,LIFEHC
LNF,LONFIN
LTE,LIGHTHCAP
LUX,LUXE
MCG,MC GROUP
MCZ,MC MINING LTD
MDI,MASTDRILL
MED,MEDIA MOND
MEI,MEDCLIN
MFL,METROFILE
MHB,MAHUBE
MIX,MIX TEL LTD
MKR,MNTK RENEW
MMP,MARSHALL MONTEAGLE
MNP,MONDIPLC
MPT,MPACT
MRF,MERAFE
MRI,MINERESI
MRP,MR PRICE
MSM,MASSMART
MSP,MAS
MST,MUSTEK
MTA,METAIR
MTH,MOTUS HLDG
MTM,MOMMET
MTN,MTN GROUP
MTNZF,MTN Z FUTHI
MUR,M&R HOLD
N91,NINETY 1P
NCS,NICTUS
NED,NEDBANK
NFP,FRONTIER
NPH,NORTHAM PLATINUM
NPK,NAMPAK
NPN,NASPERS -N
NRL,NEWPARK
NRP,NEPI ROCK
NT1,NET 1 UEPS TECH INC
NTC,NETCARE LIMITED
NUT,NUTRITION
NVE,NVEST
NVS,NOVUS
NWL,NU-WORLD
NY1,NINETY 1L
OAO,OANDO PLC
OAS,OASIS CRES PROP FUND
OCE,OCEANA
OCT,OCTODEC INV LTD
OLG,ONELOGIX
OMN,OMNIA
OMU,OLD MUTUAL
ORN,ORION MIN
PAN,PAN AFRICAN RESOURCE
PBG,PBT GROUP
PEM,PL GROUP
PFB,PREMIER FISHING
PIK,PIKNPAY
PMV,PRIMESERV
PPC,PPC
PPE,PURPLE
PPH,PEPKOR H
PPR,PUTPROP
PRX,PROSUS
PSG,PSG
PSV,PSV
QFH,QUANTUM
QLT,QUILTER
RAV,RAVEN
RBP,RB PLAT
RBX,RAUBEX GROUP
RCL,RCL
RDF,REDEFINE
REA,REBOSIS A
REB,REBOSIS
REM,REMGRO
REN,RENERGEN
RES,RESILIENT
RFG,RHODES
RHB,RH BOPHELO
RLO,REUNERT
RMH,RMB HOLDINGS
RMI,RMI HOLDINGS
RNG,RANDGOLD
RNI,REINET INV SCA
RSG,RESGEN
RTN,REX TRUE -N-
RTO,REX TRUE
S32,SOUTH32
SAC,SA CORPORATE
SAP,SAPPI
SAPCB,SAPPI SA CB
SAR,SAFARI
SBK,STANBANK
SBP,SABCAP
SCD,SEREIT
SCP,STELLAR
SDO,STADIO
SEA,SPEAR REIT
SEB,SEBATA
SEP,SEPHAKU LTD
SFN,SASFIN
SHG,SEA HARVEST
SHP,SHOPRITE
SLM,SANLAM
SNH,STEIN NV
SNT,SANTAM
SNV,SANTOVA
SOH,SOUTH OCEAN
SOL,SASOL
SOLBE1,SASOL - BEE
SPA,SPANJAARD
SPG,SUPER GROUP
SPP,SPAR
SRE,SIRIUS
SSK,STEFANUTTI STOCKS
SSS,STOR-AGE
SSW,SIBANYE-S
STP,STENPROP
SUI,SUN INTERNATIONAL
SUR,SPURCORP
SVB,SILVERBRIDGE
SYG,SYGNIA
SZK,SAB KABILI
TBS,TIGERBRANDS
TCP,TRANSCAP
TCS,TOTAL CLIENT
TDH,TRADEHOLD
TESTW1,TEST WARRANT
TEX,TEXTON
TFG,FOSCHINIGRP
TGA,THUNGELA
TGO,TSOGO SUN HOTELS
THA,THARISA
TKG,TELKOM
TLM,TELEMASTER
TMT,TREMATON
TON,TONGAAT
TPC,TRANSPACO
TPF,TRANSCEND
TRE,TRENCOR
TRL,TRELLIDOR
TRU,TRUWTHS
TSG,TSOGO SUN
TTO,TRUSTCO
TWR,TOWER
TXT,TEXTAINER GRP
UAT,UNION
UPL,UPARTNERS
VIS,VISUAL
VKE,VUKILE
VOD,VODACOM
VUN,VUNANI LIMITED
VVO,VIVO
WBO,WBH OVCON LTD
WEA,WEARNE LIMITED
WEZ,WESIZWE
WHL,WOOLIES
WKF,WORKFORCE
WSL,WESCOAL
YRK,YORK TIMBER HLDS LTD
YYLBEE,YEBOYETHU
ZCL,ZARCLEAR LTD
ZED,ZEDER